epoch,train_loss,val_loss,val_pr_auc
1,0.08362940698862076,1.546542763710022,0.0913514666108335
2,0.41395899653434753,0.5778047442436218,0.11432189206214122
3,0.20615042746067047,0.17237572371959686,0.1415884485134341
4,0.10050822794437408,0.2633528411388397,0.1399366178419667
5,0.12391980737447739,0.17642787098884583,0.1458702041588225
6,0.11046956479549408,0.05031243711709976,0.18754517473249754
7,0.07016471773386002,0.19970938563346863,0.20753775386828555
8,0.09671438485383987,0.22645752131938934,0.22249552991466448
9,0.11561957746744156,0.1712428331375122,0.24249122684556354
10,0.08494459837675095,0.06928089261054993,0.2591859699185407
11,0.05568814277648926,0.06753318756818771,0.17939197537995555
12,0.04490305483341217,0.10542549192905426,0.1725649432870497
13,0.057503074407577515,0.11222198605537415,0.17435828910184487
14,0.074304960668087,0.09126583486795425,0.18049061500072022
15,0.07739569246768951,0.0521121509373188,0.20584208786841543
16,0.039283279329538345,0.05101540684700012,0.32500873815255565
17,0.04323386773467064,0.07569316029548645,0.31704373678719644
18,0.049724362790584564,0.07460831105709076,0.31044772449005326
19,0.062869593501091,0.05824979394674301,0.30819912935258786
20,0.03456966206431389,0.04565126448869705,0.31063589622623944
21,0.04144234210252762,0.06745997071266174,0.21827001735977106
22,0.030034387484192848,0.08320032060146332,0.20782900072796806
23,0.04277336597442627,0.08660988509654999,0.20826553110814158
24,0.04678425192832947,0.07589896023273468,0.2197063145839896
25,0.037464577704668045,0.05620397999882698,0.2521812874247966
26,0.04011959582567215,0.03989748656749725,0.38396587157906314
27,0.032108373939991,0.046886153519153595,0.36412880314177865
28,0.029703691601753235,0.061830323189496994,0.3526889554616317
29,0.03848224878311157,0.06374039500951767,0.35708830524571905
30,0.04303641989827156,0.05283742398023605,0.37399560686087907
31,0.03132789209485054,0.03967548534274101,0.4029525560467203
32,0.0221864003688097,0.04316526651382446,0.3863821141452429
33,0.022548435255885124,0.05486544221639633,0.28398720950106915
34,0.02779199182987213,0.06037057563662529,0.26082647023277267
35,0.03510253131389618,0.05519489571452141,0.27005495409528457
36,0.03044537827372551,0.043061546981334686,0.3384180486364584
37,0.022651497274637222,0.03319476172327995,0.42738372900723826
38,0.01921452023088932,0.032985419034957886,0.4139825863897253
39,0.02052346058189869,0.03372819721698761,0.4073057244290843
40,0.02405642718076706,0.030110297724604607,0.41694690925756434
41,0.025131769478321075,0.02842729166150093,0.44371479992063717
42,0.023308051750063896,0.03342708200216293,0.3405358052734363
43,0.021596048027276993,0.03704628720879555,0.29674463569315296
44,0.02878633327782154,0.03552937135100365,0.31149826521556495
45,0.02050049975514412,0.030642852187156677,0.3980508300039103
46,0.018193626776337624,0.027244748547673225,0.45864610738643674
