,GCN,GraphSAGE
Best_Params,{'lr': 0.005},{'lr': 0.003}
Test_Acc,0.5381492037640246,0.6151601520086862
Test_F1,0.40406671668518607,0.4343319300469757
Test_PR_AUC,0.07230445972856016,0.06217133553897674
