model,best_lr,val_pr_auc,test_acc,test_f1,test_pr_auc,loss
GCN-2,0.005,0.13637965967278354,0.6733849077090119,0.45500693908944984,0.06168115461872725,ce
SAGE-2,0.003,0.13204706297904875,0.49498959464350345,0.3821942626617389,0.06740169581137585,ce
SAGE-3,0.003,0.12778269771340173,0.653241494752081,0.4486781659848604,0.06585553784518418,ce
