epoch,train_loss,val_loss,val_pr_auc
1,0.0414557158946991,0.03673885390162468,0.11790102260029803
2,0.03490494564175606,0.03254032880067825,0.1309199835331404
3,0.030062532052397728,0.03020753525197506,0.15666090889806558
4,0.027350924909114838,0.02923000231385231,0.17660521837640597
5,0.025631133466959,0.02910378761589527,0.18140066645969533
6,0.02429093047976494,0.029514674097299576,0.1827118737124357
7,0.023536251857876778,0.030136672779917717,0.18355359219884207
8,0.023100603371858597,0.0307481549680233,0.1844600051984777
9,0.022605514153838158,0.03137050196528435,0.1854993523734184
10,0.02193508855998516,0.03191596269607544,0.18607740746560886
11,0.021621104329824448,0.03235984966158867,0.18657684986613382
12,0.021531226113438606,0.03278786689043045,0.18714163871686576
13,0.021316029131412506,0.03304662927985191,0.18849676145039704
14,0.021062128245830536,0.033067524433135986,0.19051078552225303
15,0.021034352481365204,0.03288137912750244,0.19304395742268526
16,0.020946284756064415,0.032478511333465576,0.19660728590528032
17,0.020970571786165237,0.032053831964731216,0.1996953263120612
18,0.020767712965607643,0.031523704528808594,0.20333966369907108
19,0.020814064890146255,0.030917245894670486,0.20777552538446697
20,0.020598072558641434,0.030298858880996704,0.2131777422058207
21,0.020412955433130264,0.02974492497742176,0.2183365683468002
22,0.020429406315088272,0.029275627806782722,0.22366050641105129
23,0.020371058955788612,0.028872262686491013,0.22933378948108843
24,0.020114779472351074,0.028536178171634674,0.23537485835882005
25,0.020031768828630447,0.028232090175151825,0.24186050495887465
26,0.019942454993724823,0.027993202209472656,0.24855421158135754
27,0.01966654695570469,0.027780722826719284,0.25582379131031396
28,0.01954287849366665,0.027563126757740974,0.26699261144970077
29,0.01958574540913105,0.02734755352139473,0.2787284186520966
30,0.01946697197854519,0.027156472206115723,0.2892846246407967
31,0.01933797262609005,0.026942254975438118,0.29964202269173523
32,0.01928817108273506,0.026693658903241158,0.3091426765566399
33,0.019169555976986885,0.02646362967789173,0.3174682282033151
34,0.019013531506061554,0.02621135674417019,0.32578429705856093
35,0.018914347514510155,0.025987409055233,0.3323113574640545
36,0.0188551414757967,0.025794515386223793,0.3366156545046457
37,0.01885353960096836,0.025630583986639977,0.33957233029451206
38,0.01873777061700821,0.02548835799098015,0.34171904597479585
39,0.018684718757867813,0.02535218745470047,0.3439753851674461
40,0.018573906272649765,0.025217318907380104,0.3459559061426578
41,0.018680281937122345,0.0251107569783926,0.3477672257781656
42,0.018670525401830673,0.025027193129062653,0.3495640295577397
43,0.018561413511633873,0.024967528879642487,0.35081431735263
44,0.018586739897727966,0.024927036836743355,0.35157642287149277
45,0.01835893839597702,0.02488592453300953,0.3523797400700536
46,0.018399203196167946,0.024862688034772873,0.35277483079243427
47,0.018452664837241173,0.024852558970451355,0.3534841380600676
48,0.01831694133579731,0.024835782125592232,0.3538302364926864
49,0.018293576315045357,0.024798572063446045,0.3545809031770115
50,0.01831701025366783,0.024770693853497505,0.3553446167456143
51,0.018259210512042046,0.024748440831899643,0.35596427302040645
52,0.018202409148216248,0.02473681978881359,0.356457648636175
53,0.01808110624551773,0.024726295843720436,0.356943369849454
54,0.01808476634323597,0.024698134511709213,0.3576766059222598
55,0.01810920238494873,0.02466626837849617,0.3585691432386786
56,0.01798860728740692,0.024623127654194832,0.3596232820374584
57,0.018041636794805527,0.02458813600242138,0.36067421542527067
58,0.017958080396056175,0.024569669738411903,0.3614350432638581
59,0.018021976575255394,0.024568941444158554,0.36143333389777355
60,0.0178962554782629,0.02454390935599804,0.3620533926341218
61,0.01793869026005268,0.02451644092798233,0.36258098321969423
62,0.017840977758169174,0.024469900876283646,0.3632939682651304
63,0.01782207190990448,0.024440063163638115,0.3640758258745782
64,0.017786353826522827,0.024426404386758804,0.36432238866861866
65,0.017700694501399994,0.024388806894421577,0.36545950245689723
66,0.01775188557803631,0.024350853636860847,0.36663900341209216
67,0.01772441528737545,0.024318095296621323,0.3681413707093708
68,0.017727980390191078,0.024265047162771225,0.36948877221727305
69,0.017691466957330704,0.02421538718044758,0.3703369456113101
70,0.01767873391509056,0.02419055439531803,0.37099860809196816
71,0.01764882169663906,0.02415596880018711,0.37136404011684465
72,0.017640914767980576,0.024107757955789566,0.3723691308695272
73,0.017629127949476242,0.02406708151102066,0.3733020115823955
74,0.017572971060872078,0.02404346875846386,0.37403549495851013
75,0.01752757839858532,0.02402837574481964,0.3747543763585426
76,0.017571674659848213,0.024038270115852356,0.37543459870649576
77,0.017561733722686768,0.024050483480095863,0.3763413993015957
78,0.017495106905698776,0.024056129157543182,0.3771542098902172
79,0.01749201864004135,0.024037258699536324,0.3780432393087705
80,0.017416937276721,0.024010878056287766,0.3785468507823083
81,0.017427245154976845,0.023969681933522224,0.3793414984438296
82,0.0174271073192358,0.02393985539674759,0.37993801880067246
83,0.01740231364965439,0.023917898535728455,0.3806417183385967
84,0.017381977289915085,0.023907259106636047,0.38141783912669225
85,0.017359893769025803,0.02389606088399887,0.3816210385549576
86,0.01733957789838314,0.023881820961833,0.38169035612835056
87,0.017357707023620605,0.02387244813144207,0.3820847678107179
88,0.01731097511947155,0.023876765742897987,0.3826241528992881
89,0.01733212359249592,0.023898895829916,0.38260722904510513
90,0.01731286756694317,0.023946134373545647,0.38268693125202835
91,0.01725001074373722,0.023983530700206757,0.38255975560832195
92,0.017243243753910065,0.024015523493289948,0.3828262748149704
93,0.01722182147204876,0.024022871628403664,0.38322455514045317
94,0.017247436568140984,0.024004627019166946,0.3837635956688905
95,0.0171742495149374,0.02395324967801571,0.38446688925372086
96,0.01721891760826111,0.02388743683695793,0.3853362967709991
97,0.01721729338169098,0.02384224161505699,0.38596493302220225
98,0.017205653712153435,0.023819606751203537,0.3863378701392744
99,0.017197951674461365,0.023831438273191452,0.3866687237957732
100,0.017090344801545143,0.023866994306445122,0.3870057738265941
