time_step,n,pos_rate,pr_auc
40,10416,0.05779569892473118,0.0925174703386431
41,11076,0.05733116648609606,0.10053762425645131
42,13497,0.055567903978661924,0.09790683942719289
43,9504,0.05439814814814815,0.1022596394974871
44,8273,0.05693218904871268,0.1040219656880605
45,9419,0.054145875358318295,0.09070798329127355
46,7139,0.05953214735957417,0.11243917449103995
47,8150,0.056687116564417175,0.0983398742259859
48,6573,0.06100715046401947,0.09551574587366636
49,4369,0.05676356145571069,0.110805243918237
