,GCN,GraphSAGE
Best_Params,"{'lr': 0.005, 'alpha': 0.75, 'gamma': 2.0}","{'lr': 0.001, 'alpha': 0.7, 'gamma': 2.0}"
Test_Acc,0.9045082338038364,0.9431890155627941
Test_F1,0.545923245628555,0.4853820230604916
Test_PR_AUC,0.08861480360792909,0.06791745367223963
