feature_variant,model,best_lr,val_pr_auc,test_acc,test_f1,test_pr_auc,loss
pca_32,GCN-2,0.005,0.4220570440296733,0.6612264748461817,0.48198556329997344,0.1182899395507088,ce
pca_32,SAGE-2,0.005,0.5297270312884945,0.5074420919290626,0.4077176481910466,0.15882561954090144,ce
pca_32,SAGE-3,0.003,0.526195483418989,0.32512214983713356,0.29010108920938643,0.15889305537509213,ce
