epoch,loss,acc,f1,pr_auc
1,19944.8671875,0.6615195516312138,0.4904991496382067,0.10288300484788762
2,11834.056640625,0.49401195458975977,0.41170452436600713,0.101163582689738
3,15632.6240234375,0.4953808554555358,0.4127535456987579,0.10206323643670875
4,15750.57421875,0.5083854136804082,0.41967997420113023,0.10307346371290332
5,13603.06640625,0.6156506220973568,0.47356583892229914,0.10554444599188226
6,11269.9736328125,0.7579553924660283,0.5346791861204944,0.11244681070966929
7,10669.8447265625,0.8855140186915887,0.5868718992184856,0.19114743457568584
8,13163.771484375,0.8852058368212832,0.5901175938957222,0.1956417819062055
9,12068.94921875,0.8803680981595092,0.5913761593345197,0.18176991422402017
10,10792.7998046875,0.6610178602144372,0.501814303087013,0.10915517898058531
11,10392.6650390625,0.5315743076658449,0.4401056641005994,0.10607728722974602
12,9269.7490234375,0.5252279112436213,0.43791504328470443,0.10586694355810775
13,10277.4111328125,0.5115747376870592,0.43152967081150395,0.10598159469606255
14,10340.0390625,0.5254536723811708,0.4398113005609133,0.10617461429350392
15,9513.2265625,0.5343013588670374,0.4454575160110943,0.10643495911329895
16,9003.3046875,0.639810647325268,0.5003091954413721,0.11035509487147237
17,8509.443359375,0.8436980391032625,0.6035916431670815,0.14757713306647374
18,9151.6669921875,0.869714322573247,0.6219458620055387,0.18053248501221433
19,9261.7568359375,0.8583868470844561,0.6185737164830754,0.1652065096791209
20,8639.7978515625,0.8077876841924202,0.5913453160060855,0.13430146841040536
21,8322.5888671875,0.640860615790379,0.5055319400878638,0.11036357223861737
22,7531.1025390625,0.5172259331460352,0.44019938567412215,0.10680253999097117
23,7750.51220703125,0.49639140530932857,0.42850368600946287,0.10677407173270209
24,7494.98681640625,0.4943989736827017,0.42732085803563463,0.10681825572331213
25,7403.7421875,0.49297990367524797,0.4264891012140739,0.10688003475868493
26,7017.37744140625,0.497581130669113,0.4292446193415851,0.10699380523159568
27,6619.240234375,0.6357935324809357,0.5034748263133901,0.1111155404264224
28,6535.69384765625,0.7639577719167479,0.569262168967994,0.1277764043857073
29,6705.4384765625,0.7935324809357261,0.5846126347519569,0.13611173743994145
30,6872.77587890625,0.7750881543489478,0.5751421956878177,0.1311397310818029
31,6276.05126953125,0.6343995470443209,0.5030179009866151,0.11143667097534934
32,6315.4326171875,0.4986275156241041,0.43013442724005735,0.10738058095301051
33,6440.8017578125,0.49270038988590104,0.4266249083629726,0.10720503785912913
34,5902.21240234375,0.49316266269135944,0.4269060785073127,0.1072742765869292
35,5638.97021484375,0.49758471417923283,0.4296066231888775,0.10747019496690148
36,5203.23291015625,0.6510413680408234,0.5124313171784565,0.11410547068257867
37,5115.6796875,0.6759109282724615,0.5249166567643617,0.11593543091836411
38,5692.8681640625,0.6785376411902987,0.5260215074598333,0.1158441691030652
39,5003.8642578125,0.5762678458803968,0.47419207814387365,0.11076694668120611
40,5108.5537109375,0.5689288171549797,0.47036311583992385,0.11044397393764988
41,5010.27197265625,0.5687066395275501,0.47028725693843704,0.11055857174383629
42,4826.87548828125,0.5795861762513618,0.47613689267891895,0.11103098694120736
43,4372.60498046875,0.5928666647554612,0.48316452638377544,0.11155443059580543
44,4324.68408203125,0.5995678286795482,0.4868461989705508,0.11206248572124139
45,4328.12841796875,0.6901374634481968,0.5328987119005784,0.11815575931126907
46,3972.47509765625,0.590838398027636,0.48198027587276365,0.11110777019693102
47,3781.185546875,0.5756156470385873,0.47395516500434925,0.11068201602309691
48,3729.934814453125,0.511449314832865,0.4380498866780252,0.10809913160565893
49,3796.179931640625,0.5121911014276704,0.43850953217378,0.10814287194964392
50,3461.491943359375,0.5766082793417808,0.47463716505633,0.11100478810331783
51,3382.578369140625,0.6252759302792271,0.5001457201402822,0.11339756694172518
52,3326.5107421875,0.7455098618198498,0.5603217274822392,0.12514601575555534
53,2869.7392578125,0.7385291841064159,0.5566222521116588,0.12383145619282175
54,2983.146728515625,0.6207786250788372,0.49783249900028786,0.11313880835708787
55,2797.61279296875,0.589297488676108,0.48170158935752405,0.11192013222009863
56,2808.7724609375,0.5863661773980849,0.48017011348406957,0.11180876248027885
57,2779.9423828125,0.59310675993349,0.4838649467941405,0.11216983186245777
58,2569.598876953125,0.6126440571068172,0.493857833269858,0.11257858978357474
59,2556.82958984375,0.7163114213634539,0.5461913268230507,0.12109880407766521
60,2263.92333984375,0.7247613382260192,0.5504603262361316,0.12182473179902178
61,2161.942626953125,0.6932479502322114,0.5354747354922904,0.11937323879124154
62,2172.96533203125,0.592443810561321,0.48393981755111726,0.11224992632393704
63,2217.771240234375,0.5315671406456052,0.4504414204486741,0.10938787696099853
64,2046.755126953125,0.5945580815320223,0.4850784933630781,0.11217546567661574
65,1940.227294921875,0.708305859755748,0.5435299829778091,0.12056424883189233
66,1808.536865234375,0.736450748236913,0.5577281114725388,0.12416724563929202
67,1847.512939453125,0.6846296083940141,0.5315990332044449,0.11782954713817849
68,1745.734130859375,0.5359712745828794,0.4533791228571871,0.10975260814736787
69,1638.505126953125,0.5292486095980735,0.44945462307361267,0.10928790300492247
70,1610.37646484375,0.6734418897998968,0.5261729516482874,0.11736623758081588
71,1527.4285888671875,0.7215182615675707,0.5506491046160489,0.12295169315148018
72,1474.11767578125,0.7260442348489192,0.5523924934882263,0.12288010536886784
73,1401.122802734375,0.6222299466773694,0.5002397870043965,0.11413085042189225
74,1291.608154296875,0.6079926609712746,0.4927787459780188,0.11335375940398562
75,1247.0833740234375,0.6056562123731437,0.49148117461957075,0.11300636500949532
76,1215.672119140625,0.6254801903560576,0.5019985138451777,0.11440154254594102
77,1108.9998779296875,0.6382016512814632,0.5084398528404438,0.11481726643039024
78,1032.4017333984375,0.6313033943007855,0.5049449536128985,0.11472590548067693
79,1029.6829833984375,0.6127838140014907,0.49568113350646503,0.11383557402362088
80,974.45654296875,0.6051222693652887,0.4914400188732622,0.11320656346816041
81,892.8085327148438,0.6103291095694054,0.4943952298369336,0.11376819742077958
82,923.9096069335938,0.680031964910269,0.5304568168474884,0.11964767622768156
83,841.9956665039062,0.7156126368900866,0.5478059270979422,0.12194315699160371
84,810.905029296875,0.7436321025170575,0.5621934630944355,0.1262953548328069
85,746.6770629882812,0.6925455822487243,0.5367494619673243,0.12042719560132173
86,691.51171875,0.5907846453758385,0.4840902432404836,0.11319515947654471
87,674.3887939453125,0.5946763373659767,0.48630245354753665,0.11358976847974285
88,643.1036987304688,0.6882561206352846,0.5348120027219747,0.1209645930679135
89,621.3955688476562,0.719156728398601,0.5505535561000623,0.12417436861150115
90,609.3024291992188,0.6195960667392925,0.49994626793928293,0.11564861006326685
91,561.2059936523438,0.5366055558740898,0.4544072048659706,0.11081140895454133
92,546.1846923828125,0.547069405424001,0.46039024923935173,0.11158368089861265
93,546.654052734375,0.6528080385299008,0.5168015506625117,0.11735907427997666
94,470.37457275390625,0.7973596697437073,0.5910065500995643,0.144144071507863
95,467.3743591308594,0.8038924086921622,0.5940660317410744,0.14419069815431904
96,455.8829650878906,0.5976148156642395,0.487937885601189,0.11564550865245522
97,414.9026184082031,0.542937618255834,0.45830110960071124,0.11132824564911667
98,435.1687927246094,0.5456001662748695,0.4596139635864713,0.11130428198848508
99,423.5909118652344,0.6997197695086291,0.5394725522935075,0.11968803237074746
100,379.2794189453125,0.819864113296256,0.6038141431721107,0.15470568144464944
